"index","date","country","confirmed","deaths","recovered"
0,"2020-01-22",Afghanistan,,,
1,"2020-01-22",Albania,,,
2,"2020-01-22",Algeria,,,
3,"2020-01-22",Andorra,,,
4,"2020-01-22",Angola,,,
5,"2020-01-22",Antigua and Barbuda,,,
6,"2020-01-22",Argentina,,,
7,"2020-01-22",Armenia,,,
8,"2020-01-22",Austria,,,
9,"2020-01-22",Azerbaijan,,,
10,"2020-01-22",Bahamas,,,
11,"2020-01-22",Bahrain,,,
12,"2020-01-22",Bangladesh,,,
13,"2020-01-22",Barbados,,,
14,"2020-01-22",Belarus,,,
15,"2020-01-22",Belgium,,,
16,"2020-01-22",Belize,,,
17,"2020-01-22",Benin,,,
18,"2020-01-22",Bhutan,,,
19,"2020-01-22",Bolivia,,,
20,"2020-01-22",Bosnia and Herzegovina,,,
21,"2020-01-22",Botswana,,,
22,"2020-01-22",Brazil,,,
23,"2020-01-22",Brunei,,,
24,"2020-01-22",Bulgaria,,,
25,"2020-01-22",Burkina Faso,,,
26,"2020-01-22",Burma,,,
27,"2020-01-22",Burundi,,,
28,"2020-01-22",Cabo Verde,,,
29,"2020-01-22",Cambodia,,,
30,"2020-01-22",Cameroon,,,
31,"2020-01-22",Central African Republic,,,
32,"2020-01-22",Chad,,,
33,"2020-01-22",Chile,,,
34,"2020-01-22",Colombia,,,
35,"2020-01-22",Comoros,,,
36,"2020-01-22",Congo (Brazzaville),,,
37,"2020-01-22",Congo (Kinshasa),,,
38,"2020-01-22",Costa Rica,,,
39,"2020-01-22",Cote d'Ivoire,,,
40,"2020-01-22",Croatia,,,
41,"2020-01-22",Cuba,,,
42,"2020-01-22",Cyprus,,,
43,"2020-01-22",Czechia,,,
44,"2020-01-22",Denmark,,,
45,"2020-01-22",Diamond Princess,,,
46,"2020-01-22",Djibouti,,,
47,"2020-01-22",Dominica,,,
48,"2020-01-22",Dominican Republic,,,
49,"2020-01-22",Ecuador,,,
50,"2020-01-22",Egypt,,,
51,"2020-01-22",El Salvador,,,
52,"2020-01-22",Equatorial Guinea,,,
53,"2020-01-22",Eritrea,,,
54,"2020-01-22",Estonia,,,
55,"2020-01-22",Eswatini,,,
56,"2020-01-22",Ethiopia,,,
57,"2020-01-22",Fiji,,,
58,"2020-01-22",Finland,,,
59,"2020-01-22",France,,,
60,"2020-01-22",Gabon,,,
61,"2020-01-22",Gambia,,,
62,"2020-01-22",Georgia,,,
63,"2020-01-22",Germany,,,
64,"2020-01-22",Ghana,,,
65,"2020-01-22",Greece,,,
66,"2020-01-22",Grenada,,,
67,"2020-01-22",Guatemala,,,
68,"2020-01-22",Guinea,,,
69,"2020-01-22",Guinea-Bissau,,,
70,"2020-01-22",Guyana,,,
71,"2020-01-22",Haiti,,,
72,"2020-01-22",Holy See,,,
73,"2020-01-22",Honduras,,,
74,"2020-01-22",Hungary,,,
75,"2020-01-22",Iceland,,,
76,"2020-01-22",India,,,
77,"2020-01-22",Indonesia,,,
78,"2020-01-22",Iran,,,
79,"2020-01-22",Iraq,,,
80,"2020-01-22",Ireland,,,
81,"2020-01-22",Israel,,,
82,"2020-01-22",Italy,,,
83,"2020-01-22",Jamaica,,,
84,"2020-01-22",Japan,,,
85,"2020-01-22",Jordan,,,
86,"2020-01-22",Kazakhstan,,,
87,"2020-01-22",Kenya,,,
88,"2020-01-22","Korea, South",,,
89,"2020-01-22",Kosovo,,,
90,"2020-01-22",Kuwait,,,
91,"2020-01-22",Kyrgyzstan,,,
92,"2020-01-22",Laos,,,
93,"2020-01-22",Latvia,,,
94,"2020-01-22",Lebanon,,,
95,"2020-01-22",Lesotho,,,
96,"2020-01-22",Liberia,,,
97,"2020-01-22",Libya,,,
98,"2020-01-22",Liechtenstein,,,
99,"2020-01-22",Lithuania,,,
100,"2020-01-22",Luxembourg,,,
101,"2020-01-22",MS Zaandam,,,
102,"2020-01-22",Madagascar,,,
103,"2020-01-22",Malawi,,,
104,"2020-01-22",Malaysia,,,
105,"2020-01-22",Maldives,,,
106,"2020-01-22",Mali,,,
107,"2020-01-22",Malta,,,
108,"2020-01-22",Marshall Islands,,,
109,"2020-01-22",Mauritania,,,
110,"2020-01-22",Mauritius,,,
111,"2020-01-22",Mexico,,,
112,"2020-01-22",Micronesia,,,
113,"2020-01-22",Moldova,,,
114,"2020-01-22",Monaco,,,
115,"2020-01-22",Mongolia,,,
116,"2020-01-22",Montenegro,,,
117,"2020-01-22",Morocco,,,
118,"2020-01-22",Mozambique,,,
119,"2020-01-22",Namibia,,,
120,"2020-01-22",Nepal,,,
121,"2020-01-22",Netherlands,,,
122,"2020-01-22",New Zealand,,,
123,"2020-01-22",Nicaragua,,,
124,"2020-01-22",Niger,,,
125,"2020-01-22",Nigeria,,,
126,"2020-01-22",North Macedonia,,,
127,"2020-01-22",Norway,,,
128,"2020-01-22",Oman,,,
129,"2020-01-22",Pakistan,,,
130,"2020-01-22",Panama,,,
131,"2020-01-22",Papua New Guinea,,,
132,"2020-01-22",Paraguay,,,
133,"2020-01-22",Peru,,,
134,"2020-01-22",Philippines,,,
135,"2020-01-22",Poland,,,
136,"2020-01-22",Portugal,,,
137,"2020-01-22",Qatar,,,
